Year Lat Lon PMDI
838 36.25 -108.25 -0.33
839 36.25 -108.25 -0.3
840 36.25 -108.25 -3.14
841 36.25 -108.25 -0.23
842 36.25 -108.25 0.96
843 36.25 -108.25 3.87
844 36.25 -108.25 0.13
845 36.25 -108.25 0.5
846 36.25 -108.25 -1.79
847 36.25 -108.25 -3.81
848 36.25 -108.25 0.06
849 36.25 -108.25 -0.71
850 36.25 -108.25 0.03
851 36.25 -108.25 -1.23
852 36.25 -108.25 1.8
853 36.25 -108.25 1.38
854 36.25 -108.25 2.62
855 36.25 -108.25 0.05
856 36.25 -108.25 1.42
857 36.25 -108.25 -2.05
858 36.25 -108.25 3.03
859 36.25 -108.25 0.05
860 36.25 -108.25 0.23
861 36.25 -108.25 0.22
862 36.25 -108.25 1.28
863 36.25 -108.25 -0.32
864 36.25 -108.25 -1.05
865 36.25 -108.25 -0.48
866 36.25 -108.25 0.17
867 36.25 -108.25 -2.51
868 36.25 -108.25 -2.63
869 36.25 -108.25 1.65
870 36.25 -108.25 -1.27
871 36.25 -108.25 0.92
872 36.25 -108.25 -0.58
873 36.25 -108.25 0.73
874 36.25 -108.25 -0.99
875 36.25 -108.25 -1.68
876 36.25 -108.25 2.47
877 36.25 -108.25 -0.77
878 36.25 -108.25 -3.43
879 36.25 -108.25 -0.94
880 36.25 -108.25 -0.3
881 36.25 -108.25 0.41
882 36.25 -108.25 -1.78
883 36.25 -108.25 -1.7
884 36.25 -108.25 -3.41
885 36.25 -108.25 -0.28
886 36.25 -108.25 1.2
887 36.25 -108.25 1.53
888 36.25 -108.25 0.67
889 36.25 -108.25 -1.14
890 36.25 -108.25 2.29
891 36.25 -108.25 -0.18
892 36.25 -108.25 -2.8
893 36.25 -108.25 1.84
894 36.25 -108.25 -0.47
895 36.25 -108.25 -0.66
896 36.25 -108.25 2.03
