year,pmdi,pmdi_center
1127,-0.06818801490865381,-0.07
1128,2.303989135060833,2.38
1129,4.466651069082765,4.44
1130,0.11286045232642597,0.12
1131,-2.969033636485111,-3.0
1132,-1.14674851573889,-1.18
1133,-0.9284736209955428,-0.97
1134,-2.301834118406986,-2.32
1135,-1.3141691817957628,-1.33
1136,-0.15550656543072505,-0.17
1137,-0.4176251934288099,-0.44
1138,-1.394357988026068,-1.42
1139,0.45650298589057975,0.47
1140,-2.264803611664916,-2.28
1141,0.9994907273464437,1.01
1142,1.004990583292271,1.04
1143,-0.6080064577269615,-0.6
1144,-0.707155979141195,-0.71
1145,0.8770826076394859,0.9
1146,-3.114936467625374,-3.14
1147,-2.47306039272305,-2.51
1148,-2.2916414086820587,-2.34
1149,-1.1859804923063957,-1.21
1150,-4.306746869770851,-4.35
1151,-3.3902402861649215,-3.44
1152,2.474860722461279,2.47
1153,0.3857643269496999,0.37
1154,-1.4647186294553427,-1.54
1155,1.1270222684334934,1.14
1156,-2.365754604462699,-2.42
1157,-2.2967346113275706,-2.31
1158,-3.3366547283801316,-3.39
1159,1.5730349138534196,1.6
1160,2.111485951332797,2.14
1161,-2.330453070222351,-2.41
1162,2.8650106849743495,2.77
1163,4.014969070435154,3.97
1164,0.9042774037252996,0.89
1165,1.4683858055187997,1.5
1166,-2.606462172049118,-2.63
1167,0.4135842806181925,0.42
1168,-1.1471535057028066,-1.19
1169,-3.0052278748320056,-3.05
1170,0.7781554756253223,0.79
1171,2.9917677090558126,2.91
1172,0.305121757539415,0.32
1173,1.8964548421056988,1.88
1174,-1.4265257222963819,-1.44
1175,-2.0295091730792665,-2.11
1176,-0.6988866333562305,-0.74
1177,-2.387721813118864,-2.41
1178,0.6690528923199234,0.67
1179,0.5343347661787424,0.52
1180,1.6340839385248525,1.64
1181,0.8894700593280354,0.91
1182,-1.7601820788727698,-1.81
1183,-0.6399548602445624,-0.68
1184,3.3089575041426573,3.28
1185,0.20367887707038465,0.21
1186,-3.3658272562341636,-3.4
1187,-1.007559439777155,-1.03
1188,0.16071622831435017,0.16
1189,-0.5617932152023355,-0.57
1190,1.562662598189833,1.6
1191,0.3749557597097407,0.31
1192,-0.6090984460263339,-0.63
1193,0.2456602780445033,0.24
1194,0.9283106986858629,0.96
1195,2.6522163719651006,2.66
1196,2.171636399287391,2.18
1197,3.8253088641837687,3.76
1198,0.02730557234854597,-0.01
1199,-0.7451828164756522,-0.8
1200,3.5002147085278463,3.41
1201,4.025215814932171,3.93
1202,1.9213886025082418,1.88
1203,1.600065339196404,1.61
1204,0.27037206299794964,0.32
1205,-0.7999349482059522,-0.84
1206,-0.8040184643114501,-0.82
1207,0.41219129764218687,0.4
1208,-0.13742242866499405,-0.16
1209,3.1450611845489798,3.08
1210,1.7024059877931175,1.7
1211,3.496665845178091,3.42
1212,1.0237873327843645,1.04
1213,0.3109665700224384,0.3
1214,-1.5397146813154676,-1.55
1215,-2.3104555972786525,-2.33
1216,-2.8012600456164627,-2.85
1217,-4.348494207614867,-4.4
1218,-2.2260911514247668,-2.26
1219,2.008095657606129,2.04
1220,0.25000417302434036,0.24
1221,-1.3374927598877062,-1.37
1222,0.969424047456995,0.98
1223,1.2088753190233814,1.24
1224,-0.12974034085590552,-0.14
1225,-0.8642433266456298,-0.89
1226,0.8579043958100732,0.89
1227,-3.442602897315,-3.5
1228,1.4839865991045533,1.5
1229,2.5909347857103486,2.6
1230,0.8883500194489216,0.89
1231,1.128859984555829,1.12
1232,1.2251500786488752,1.26
1233,-1.3690387451515018,-1.42
1234,-2.1167255276760075,-2.16
1235,0.49750070138966995,0.48
1236,-1.5129378260902016,-1.55
1237,0.31583659204708525,0.27
1238,2.967971129821714,2.91
1239,1.6148320677913746,1.62
1240,-1.9606280713130595,-2.0
1241,1.6480083280751874,1.65
1242,1.6202209136900265,1.64
1243,0.5170302908302643,0.51
1244,0.4919382844565428,0.48
1245,-0.3666085100015416,-0.4
1246,-2.1740362086909437,-2.21
1247,-1.6081146434069449,-1.64
1248,1.3565960351421777,1.41
1249,2.824756960958438,2.81
1250,-0.9448531855060311,-0.97
1251,-4.239882199068842,-4.26
1252,-1.9377556836909848,-1.94
1253,0.8699921304928652,0.89
1254,-4.225495403987513,-4.23
1255,0.19912446496395753,0.2
1256,0.6461231516486619,0.69
1257,0.9850772923646905,1.02
1258,-3.7418604882734128,-3.76
1259,2.321973279305625,2.34
1260,0.918431701254036,0.89
1261,-0.10326374270439057,-0.1
1262,1.1007693725939212,1.09
1263,-0.9520791722180281,-1.01
1264,-0.9629574323495396,-1.03
1265,1.4412877288990407,1.43
1266,0.26255506871364714,0.28
1267,1.3971669961631528,1.43
1268,3.1916915583364425,3.15
1269,2.3443068133664458,2.38
1270,-0.9913567739824951,-1.05
1271,1.1773066787528699,1.21
1272,0.9721870074734861,1.01
1273,-2.4797263371728637,-2.49
1274,-2.2245262433823254,-2.29
1275,2.9321420747298754,2.89
1276,-2.289969411959701,-2.31
1277,-1.429266737127867,-1.47
1278,-2.7033463859882967,-2.73
1279,-0.8409568117901619,-0.88
1280,-2.3394810589816344,-2.34
1281,-1.3309467746239112,-1.35
1282,-0.3674295426966085,-0.39
1283,-1.7995781735174678,-1.87
1284,-0.7090552937634828,-0.73
1285,-1.5632968394240754,-1.61
1286,-1.4201010537757313,-1.47
1287,-0.21917492879331277,-0.27
1288,-2.450394601364584,-2.48
1289,-0.6903255115631941,-0.73
1290,2.5452432634217494,2.54
1291,-0.7922772154938107,-0.77
1292,-1.4088155645306357,-1.46
1293,-0.09612646145737735,-0.14
1294,-0.9774094956410004,-1.03
1295,-2.6320674707068226,-2.71
1296,-0.9921644869794892,-1.04
1297,-0.8415979511442133,-0.86
1298,2.7204030109397124,2.69
1299,-0.14629406060983724,-0.2
1300,0.1000681456909581,0.09
1301,2.5611406443710756,2.57
1302,3.6137844369266223,3.58
1303,1.8776300221526698,1.96
1304,0.5033455942632223,0.54
1305,4.011739837138322,3.93
1306,0.8229140190253517,0.8
1307,-1.8537988630290183,-1.95
1308,-0.7371229628120392,-0.81
1309,3.705057092419446,3.68
1310,4.222799574060998,4.07
1311,1.9408906441875342,1.92
1312,1.9251638837884713,2.0
1313,6.747337663303101,7.21
1314,3.5116531638111774,3.46
1315,-0.7734860149600998,-0.79
1316,-4.379654207092477,-4.41
1317,-0.528310375033953,-0.58
1318,1.7293887468286404,1.77
1319,2.564110101379452,2.62
1320,2.252895096246705,2.28
1321,3.1141842819745946,3.14
1322,0.6378238924041121,0.66
1323,-0.887494019181666,-0.93
1324,-0.8642892218765879,-0.87
1325,5.250248742329735,5.36
1326,4.201973657007045,4.23
1327,0.8129463696737715,0.87
1328,-0.7997532738798993,-0.82
1329,-0.33919304247852605,-0.36
1330,3.0790386637524167,3.08
1331,3.189672050239415,3.18
1332,3.945015990671351,3.92
1333,4.694762788850796,4.68
1334,2.0024575307499024,2.04
1335,-1.5019849981851903,-1.55
1336,0.7590295984777689,0.79
1337,3.481740340452483,3.49
1338,-1.8965526495991614,-1.88
1339,-0.19452788985464217,-0.2
1340,-0.5478764256294167,-0.57
1341,-0.701459177423931,-0.68
1342,-0.5615381157566603,-0.56
1343,-0.3112187736103708,-0.32
1344,0.40172657105816206,0.41
1345,0.623302289615013,0.65
1346,0.6560438445144913,0.66
1347,-2.151259326390496,-2.12
1348,-1.2917655860419486,-1.31
1349,0.5211570043481447,0.56
1350,-2.298123457024512,-2.34
1351,-1.0405299759129623,-1.08
1352,-1.5291465625343215,-1.55
1353,3.3297513221325885,3.34
1354,3.0626994276418658,3.06
1355,-1.3080631992176042,-1.33
1356,2.2191185288272175,2.25
1357,2.8213210231536143,2.86
1358,4.466895960599915,4.45
1359,2.8727205180796287,2.86
1360,-2.645328173636494,-2.66
1361,-1.9529621444333165,-2.03
1362,-1.8879312689906615,-1.94
1363,-1.9982717194473518,-2.0
